FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
48115,"Dawson, TX",902.12,902.06,0.06
46037,"Day, SD",1091.21,1028.57,62.63
35011,"De Baca, NM",2333.83,2324.87,8.96
22031,"De Soto, LA",894.49,877.2,17.29
17039,"De Witt, IL",405.15,397.58,7.58
48117,"Deaf Smith, TX",1498.26,1497.34,0.92
18029,"Dearborn, IN",307.05,305.21,1.84
13087,"Decatur, GA",623.16,596.8,26.36
19053,"Decatur, IA",533.32,531.8,1.52
18031,"Decatur, IN",373.42,372.6,0.81
20039,"Decatur, KS",894.18,893.55,0.63
47039,"Decatur, TN",344.91,333.9,11.01
30023,"Deer Lodge, MT",741.16,736.98,4.19
39039,"Defiance, OH",414.19,411.16,3.03
1049,"DeKalb, AL",778.65,777.91,0.74
13089,"DeKalb, GA",270.91,268.21,2.7
17037,"DeKalb, IL",634.97,634.16,0.81
18033,"DeKalb, IN",363.84,362.88,0.97
29063,"DeKalb, MO",425.77,424.2,1.57
47041,"DeKalb, TN",328.98,304.57,24.41
6015,"Del Norte, CA",1229.75,1007.81,221.94
19055,"Delaware, IA",579.05,577.85,1.19
18035,"Delaware, IN",395.92,393.29,2.63
36025,"Delaware, NY",1468.04,1446.37,21.67
39041,"Delaware, OH",455.97,442.41,13.56
40041,"Delaware, OK",792.33,740.65,51.68
42045,"Delaware, PA",190.74,184.21,6.53
8029,"Delta, CO",1148.52,1142.11,6.42
26041,"Delta, MI",1991.58,1170.03,821.56
48119,"Delta, TX",277.92,277.08,0.84
2068,"Denali, AK",12774.53,12749.65,24.88
29065,"Dent, MO",754.51,753.54,0.97
48121,"Denton, TX",957.88,888.54,69.34
8031,"Denver, CO",154.94,153.35,1.59
19057,"Des Moines, IA",429.8,416.15,13.65
41017,"Deschutes, OR",3054.77,3018.15,36.61
5041,"Desha, AR",819.52,764.99,54.53
12027,"DeSoto, FL",639.5,637.27,2.23
28033,"DeSoto, MS",496.77,477.86,18.91
31049,"Deuel, NE",440.79,439.89,0.9
46039,"Deuel, SD",636.72,623.55,13.17
40043,"Dewey, OK",1008.26,1000.13,8.13
46041,"Dewey, SD",2445.67,2302.64,143.03
48123,"DeWitt, TX",910.47,909.18,1.29
48125,"Dickens, TX",905.21,904.21,1
51051,"Dickenson, VA",333.63,331.71,1.91
38021,"Dickey, ND",1141.66,1131,10.66
19059,"Dickinson, IA",403.69,381.06,22.63
20041,"Dickinson, KS",852.12,847.92,4.2
26043,"Dickinson, MI",777.12,766.34,10.78
47043,"Dickson, TN",491.28,489.87,1.42
2070,"Dillingham, AK",20928.41,18674.78,2253.63
45033,"Dillon, SC",406.54,404.84,1.7
48127,"Dimmit, TX",1334.48,1330.91,3.57
51053,"Dinwiddie, VA",506.98,503.67,3.31
11001,"District of Columbia, NA",68.34,61.4,6.94
38023,"Divide, ND",1294.18,1259.53,34.65
12029,"Dixie, FL",863.66,704.01,159.65
31051,"Dixon, NE",482.72,476.39,6.33
54017,"Doddridge, WV",320.48,320.43,0.05
13091,"Dodge, GA",503.17,500.29,2.88
27039,"Dodge, MN",439.63,439.5,0.12
31053,"Dodge, NE",543.92,534.39,9.53
55027,"Dodge, WI",906.99,882.28,24.71
8033,"Dolores, CO",1068.09,1066.97,1.13
35013,"Dona Ana, NM",3814.62,3807.18,7.44
20043,"Doniphan, KS",397.07,392.18,4.89
48129,"Donley, TX",933.05,929.77,3.28
13093,"Dooly, GA",397.07,392.88,4.19
55029,"Door, WI",2369.83,482.72,1887.11
24019,"Dorchester, MD",982.92,557.54,425.38
45035,"Dorchester, SC",576.69,574.73,1.96
13095,"Dougherty, GA",334.64,329.6,5.04
8035,"Douglas, CO",842.75,840.11,2.64
13097,"Douglas, GA",200.26,199.3,0.96
17041,"Douglas, IL",417.42,416.86,0.56
20045,"Douglas, KS",474.47,456.87,17.6
27041,"Douglas, MN",719.94,634.32,85.62
29067,"Douglas, MO",814.6,814.53,0.07
31055,"Douglas, NE",339.6,330.98,8.62
32005,"Douglas, NV",737.65,709.85,27.8
41019,"Douglas, OR",5133.83,5036.62,97.21
46043,"Douglas, SD",434.13,433.53,0.6
53017,"Douglas, WA",1848.69,1820.53,28.17
55031,"Douglas, WI",1479.91,1309.13,170.78
5043,"Drew, AR",835.65,828.18,7.47
18037,"Dubois, IN",435.23,430.09,5.14
19061,"Dubuque, IA",616.56,608.16,8.41
49013,"Duchesne, UT",3255.97,3238.05,17.92
25007,"Dukes, MA",490.95,103.78,387.18
31057,"Dundy, NE",920.79,919.86,0.93
29069,"Dunklin, MO",547.11,545.62,1.49
38025,"Dunn, ND",2082.25,2009.6,72.65
55033,"Dunn, WI",863.91,852.03,11.89
17043,"DuPage, IL",336.55,333.61,2.95
37061,"Duplin, NC",819.11,817.73,1.38
37063,"Durham, NC",297.79,290.32,7.47
36027,"Dutchess, NY",825.38,801.59,23.78
12031,"Duval, FL",918.24,773.67,144.57
48131,"Duval, TX",1795.67,1792.71,2.97
47045,"Dyer, TN",526.48,510.5,15.98
8037,"Eagle, CO",1691.8,1687.88,3.93
13099,"Early, GA",516.27,511.23,5.04
22033,"East Baton Rouge, LA",470.54,455.43,15.11
22035,"East Carroll, LA",442.45,421.44,21.01
