county-state,POPESTIMATE2019
"Carbon County, WY",14800
"Converse County, WY",13822
"Crook County, WY",7584
"Fremont County, WY",39261
"Goshen County, WY",13211
"Hot Springs County, WY",4413
"Johnson County, WY",8445
"Laramie County, WY",99500
"Lincoln County, WY",19830
"Natrona County, WY",79858
"Niobrara County, WY",2356
"Park County, WY",29194
"Platte County, WY",8393
"Sheridan County, WY",30485
"Sublette County, WY",9831
"Sweetwater County, WY",42343
"Teton County, WY",23464
"Uinta County, WY",20226
"Washakie County, WY",7805
"Weston County, WY",6927
