county-state,POPESTIMATE2019
"Wabash County, IN",30996
"Warren County, IN",8265
"Warrick County, IN",62998
"Washington County, IN",28036
"Wayne County, IN",65884
"Wells County, IN",28296
"White County, IN",24102
"Whitley County, IN",33964
"Iowa, IA",3155070
"Adair County, IA",7152
"Adams County, IA",3602
"Allamakee County, IA",13687
"Appanoose County, IA",12426
"Audubon County, IA",5496
"Benton County, IA",25645
"Black Hawk County, IA",131228
"Boone County, IA",26234
"Bremer County, IA",25062
"Buchanan County, IA",21175
"Buena Vista County, IA",19620
"Butler County, IA",14439
"Calhoun County, IA",9668
"Carroll County, IA",20165
"Cass County, IA",12836
"Cedar County, IA",18627
"Cerro Gordo County, IA",42450
"Cherokee County, IA",11235
"Chickasaw County, IA",11933
"Clarke County, IA",9395
"Clay County, IA",16016
"Clayton County, IA",17549
"Clinton County, IA",46429
"Crawford County, IA",16820
"Dallas County, IA",93453
"Davis County, IA",9000
"Decatur County, IA",7870
"Delaware County, IA",17011
"Des Moines County, IA",38967
"Dickinson County, IA",17258
"Dubuque County, IA",97311
"Emmet County, IA",9208
"Fayette County, IA",19650
"Floyd County, IA",15642
"Franklin County, IA",10070
"Fremont County, IA",6960
"Greene County, IA",8888
"Grundy County, IA",12232
"Guthrie County, IA",10689
"Hamilton County, IA",14773
"Hancock County, IA",10630
"Hardin County, IA",16846
"Harrison County, IA",14049
"Henry County, IA",19954
"Howard County, IA",9158
"Humboldt County, IA",9558
"Ida County, IA",6860
"Iowa County, IA",16184
"Jackson County, IA",19439
"Jasper County, IA",37185
"Jefferson County, IA",18295
"Johnson County, IA",151140
"Jones County, IA",20681
"Keokuk County, IA",10246
"Kossuth County, IA",14813
"Lee County, IA",33657
"Linn County, IA",226706
"Louisa County, IA",11035
"Lucas County, IA",8600
"Lyon County, IA",11755
"Madison County, IA",16338
"Mahaska County, IA",22095
"Marion County, IA",33253
"Marshall County, IA",39369
"Mills County, IA",15109
"Mitchell County, IA",10586
"Monona County, IA",8615
"Monroe County, IA",7707
"Montgomery County, IA",9917
"Muscatine County, IA",42664
"O'Brien County, IA",13753
"Osceola County, IA",5958
"Page County, IA",15107
"Palo Alto County, IA",8886
"Plymouth County, IA",25177
"Pocahontas County, IA",6619
"Polk County, IA",490161
"Pottawattamie County, IA",93206
"Poweshiek County, IA",18504
"Ringgold County, IA",4894
"Sac County, IA",9721
"Scott County, IA",172943
"Shelby County, IA",11454
"Sioux County, IA",34855
"Story County, IA",97117
"Tama County, IA",16854
"Taylor County, IA",6121
"Union County, IA",12241
"Van Buren County, IA",7044
